classification, true_output, bin_output
90,0.99999917,1
91,0.9999988,1
92,0.99999976,1
93,1.0,1
94,1.0,1
95,1.0,1
96,1.0,1
97,1.0,1
98,1.0,1
99,1.0,1
100,1.0,1
101,1.0,1
102,1.0,1
103,1.0,1
104,1.0,1
105,0.9999999,1
106,0.99999976,1
107,0.9999999,1
108,0.9999999,1
109,nan,0
2,1.0,1
3,1.0,1
4,1.0,1
5,1.0,1
6,1.0,1
2,1.0,1
3,1.0,1
4,1.0,1
5,1.0,1
6,1.0,1
7,1.0,1
8,1.0,1
9,1.0,1
10,1.0,1
2,0.9999993,1
3,0.99999917,1
4,0.9999989,1
5,0.9999944,1
6,0.99999785,1
7,0.9999988,1
8,0.9999938,1
9,0.9999076,1
10,0.9999869,1
11,0.99999845,1
2,0.9828927,1
3,0.8311541,1
4,0.31278926,0
5,0.5936404,1
6,0.36042726,0
7,0.91688174,1
8,0.0748564,0
9,0.018731534,0
10,0.00073847285,0
11,0.00010409117,0
12,6.114281e-05,0
13,3.7357426e-05,0
14,0.0075488416,0
15,0.012475699,0
16,0.0056158146,0
17,0.00056102383,0
18,0.0039585573,0
19,0.0043556313,0
20,0.0016179242,0
21,0.03764288,0
22,0.9658056,1
23,0.97623426,1
24,0.9989666,1
25,0.99994016,1
26,0.99999726,1
27,0.99999976,1
28,1.0,1
29,1.0,1
30,1.0,1
31,1.0,1
32,1.0,1
33,0.9999995,1
34,0.9999914,1
35,0.9999423,1
36,0.9255037,1
37,0.5142762,1
38,0.01923843,0
39,0.00046324407,0
40,0.00011027354,0
41,0.000636996,0
42,0.00015548193,0
43,6.326274e-06,0
44,6.337998e-07,0
45,1.3226455e-06,0
46,1.55999e-06,0
47,1.0419247e-06,0
48,1.1089178e-06,0
49,7.7679573e-07,0
50,9.581997e-07,0
51,2.4270653e-06,0
52,8.3511195e-06,0
53,5.273921e-05,0
54,0.0016033616,0
55,0.00095466396,0
56,0.016560204,0
57,0.01521534,0
58,0.0016957661,0
