timestamps,TP9_0,TP9_1,TP9_2,TP9_3,TP9_4,TP9_5,TP9_6,TP9_7,TP9_8,TP9_9,TP9_10,TP9_11,TP9_12,TP9_13,TP9_14,AF7_0,AF7_1,AF7_2,AF7_3,AF7_4,AF7_5,AF7_6,AF7_7,AF7_8,AF7_9,AF7_10,AF7_11,AF7_12,AF7_13,AF7_14,AF8_0,AF8_1,AF8_2,AF8_3,AF8_4,AF8_5,AF8_6,AF8_7,AF8_8,AF8_9,AF8_10,AF8_11,AF8_12,AF8_13,AF8_14,TP10_0,TP10_1,TP10_2,TP10_3,TP10_4,TP10_5,TP10_6,TP10_7,TP10_8,TP10_9,TP10_10,TP10_11,TP10_12,TP10_13,TP10_14,drowsy
485,3.345074369,12.57743624,49.52002291,243.5813605,773.0976562,3.75998703,14.80386307,72.8179208,231.1152372,3.937211205,19.3665351,61.46703043,4.918845877,15.61181944,3.173878554,1.261642798,3.716753137,7.623829864,21.39365089,38.00611113,2.945963108,6.042779999,16.95697937,30.12430396,2.051206949,5.756005336,10.22562159,2.806155341,4.985173043,1.77651357,4.076283858,3.650379858,7.820011874,24.88607588,90.13854181,0.895516599,1.918416908,6.105089034,22.11292073,2.142246062,6.817393491,24.6929211,3.182357812,11.52665025,3.622047214,3.364155517,14.6659322,40.8309661,247.874902,554.7529845,4.359469151,12.1370626,73.68116627,164.9011116,2.784068926,16.90140788,37.82596135,6.070757705,13.58657503,2.238036122,0
490,3.469457018,10.98525117,51.99042465,162.7794723,543.9964919,3.166273892,14.98517618,46.91785241,156.7958586,4.73274792,14.81800186,49.52062391,3.130951005,10.46339774,3.341923181,3.532911579,5.286993249,8.61366893,16.73344529,37.012664,1.496497472,2.438121854,4.736446106,10.47653279,1.629218825,3.16502112,7.000701961,1.942661765,4.296968493,2.211897392,2.070329705,2.719129916,9.340018105,16.06330957,45.12029322,1.313380139,4.51136748,7.758817125,21.79377183,3.434928964,5.907518238,16.59365113,1.719837091,4.830857147,2.80890392,3.517692151,11.07776744,43.47814873,184.5031125,412.8422573,3.149157732,12.3598504,52.45004525,117.3616791,3.924811472,16.65526141,37.26764076,4.243582533,9.495396409,2.237589663,0
495,3.713207922,6.387527927,44.20720771,89.97252142,239.390754,1.720218222,11.90539518,24.23040221,64.47006445,6.920863316,14.08565605,37.47784068,2.03524552,5.41519735,2.660709628,1.986039422,5.512331301,14.65021567,26.34370117,68.55685988,2.775539719,7.376598622,13.26444021,34.51938522,2.657716829,4.779048961,12.43699918,1.798178387,4.67958025,2.602400454,1.497994355,2.62073121,10.3173277,13.4308037,35.11255218,1.749493382,6.887427622,8.965857353,23.43970928,3.936812618,5.124830675,13.39799825,1.301771553,3.403260342,2.614329937,4.54201778,6.750305397,35.46750587,80.34563136,248.0689607,1.486190879,7.8087554,17.68941366,54.61646623,5.254207592,11.90251798,36.74929445,2.265330741,6.994260088,3.087522701,0
500,2.846240138,8.670117379,25.76948716,56.59975693,129.4585208,3.046165102,9.053869635,19.88579817,45.48404722,2.972218948,6.528141945,14.93157649,2.196386625,5.023713512,2.287262841,2.081054833,2.745968977,4.941973412,12.93659886,20.96892302,1.319508229,2.374744449,6.216366169,10.07610308,1.799719317,4.711123457,7.636256345,2.617699,4.243026272,1.620899222,2.139525749,2.634506539,3.265947,14.28217719,25.00877471,1.231350705,1.526481746,6.675393926,11.68893374,1.239680734,5.421196333,9.492773821,4.37305847,7.657434338,1.751047783,2.764140038,7.984967633,24.94372466,62.76297918,151.0313363,2.888771019,9.024045206,22.70615031,54.63953862,3.123835412,7.860141965,18.91445818,2.51618313,6.054883079,2.406376152,0
505,2.388255814,11.01599759,14.22067995,50.47051915,144.3156371,4.612570197,5.95442074,21.13279442,60.42721064,1.29091168,4.581565921,13.1005509,3.549093244,10.14829373,2.85940465,2.291446998,3.315424407,6.183154625,20.01002596,61.59276111,1.446869341,2.698362489,8.732484748,26.87941775,1.86496625,6.035434232,18.57764001,3.236216329,9.961381342,3.078095013,3.118255836,4.573026775,4.12235705,18.07715933,45.87623462,1.466533541,1.322007323,5.797202115,14.71214584,0.901450451,3.952996608,10.0319191,4.385151288,11.12864171,2.537801088,2.370323857,11.42789807,14.2630128,57.88525432,142.2775636,4.821239104,6.017326602,24.42082087,60.02452499,1.248087156,5.065258193,12.45002036,4.05841705,9.975281212,2.457924134,0
510,5.390248178,12.85457105,31.4154985,93.11773972,246.835602,2.384782783,5.82821003,17.27522308,45.7929939,2.443916516,7.243939868,19.2021656,2.964070098,7.857128289,2.650790308,2.681549713,6.31826864,7.682608622,26.80743902,65.02815333,2.35620045,2.864988325,9.996994978,24.2502136,1.215935735,4.242845714,10.29208428,3.489366742,8.464332434,2.425750303,4.041988146,6.407936519,11.4905757,45.07983717,182.0811771,1.58534273,2.84280292,11.15288703,45.04742977,1.793178766,7.035000586,28.41494708,3.92320092,15.84613181,4.039082405,4.93205354,10.62399851,25.15168403,78.42491523,259.1766563,2.154072016,5.099637265,15.90106729,52.54944096,2.36744047,7.38186429,24.39539652,3.118078103,10.30454486,3.304774453,0
515,3.455199475,15.92587106,110.8245741,203.9996141,592.3123024,4.609247939,32.07472533,59.04134206,171.4263696,6.958776303,12.80932222,37.19183084,1.840743497,5.344593535,2.903497171,1.806632466,2.516542139,7.866214595,16.146116,45.13267592,1.392946372,4.354075741,8.937133755,24.98165884,3.125802852,6.415992702,17.93440103,2.052590328,5.737534284,2.795265185,0.923043367,3.818492343,4.727960453,11.1532228,47.78805517,4.136850422,5.122143359,12.08309728,51.77227514,1.238174659,2.920844616,12.5149014,2.358992405,10.10754122,4.284685784,3.396600339,15.88979403,70.75885662,200.6326337,396.528215,4.678146512,20.8322586,59.06866092,116.7426766,4.453100933,12.6265094,24.95489962,2.835441997,5.60393757,1.976389423,0
520,2.738732635,10.59323465,37.67720943,183.7596357,546.2316981,3.867933113,13.75716963,67.09659544,199.4468869,3.556723766,17.34688617,51.56420264,4.877209284,14.49766865,2.972533637,2.153050465,5.878793244,10.5489096,34.87956093,98.40021847,2.730448421,4.899518042,16.2000666,45.70269952,1.794400511,5.933115774,16.73816622,3.30646126,9.327999026,2.821142694,2.5364618,3.330645924,12.93496264,22.91249346,74.9395996,1.313107071,5.099608694,9.033249964,29.54493524,3.883619856,6.879294282,22.50001991,1.771361394,5.793569078,3.270687223,2.421143315,7.826483656,24.60990478,220.934041,463.9981649,3.232556952,10.16457994,91.25194679,191.6442377,3.144439555,28.22902988,59.28564926,8.977443956,18.85412272,2.100166018,0
525,2.884191833,9.165933761,46.79693608,255.4548018,734.5855114,3.177990332,16.22532023,88.57066957,254.6937077,5.105528504,27.87002486,80.14300895,5.458793313,15.69729929,2.875598761,2.642810557,4.276822374,4.622873795,8.870863459,20.43423425,1.61828564,1.749226324,3.356602097,7.732008712,1.080913209,2.074171589,4.777901083,1.918906692,4.420244886,2.303522577,2.044728889,3.087422065,8.342546446,15.60058612,45.13688506,1.509942018,4.080025715,7.629659955,22.07475295,2.702107541,5.052948962,14.61960306,1.870002909,5.410444563,2.893281362,2.571053609,8.677646177,42.02764918,239.979606,611.9965512,3.375132338,16.34646941,93.33901289,238.0333685,4.843208437,27.65491944,70.52564009,5.710041143,14.56176025,2.550202334,0
530,3.793078818,9.448773977,39.9677316,238.382326,1009.746165,2.491056588,10.53701584,62.84665769,266.2075358,4.22993837,25.22891611,106.8653105,5.964369668,25.26403488,4.235826463,2.043288968,3.922702739,10.81866316,49.70381284,66.23385674,1.919798325,5.294729882,24.32539578,32.41531558,2.757961507,12.6708079,16.88475043,4.594265679,6.122184947,1.332570943,1.936306304,5.076407404,3.436054453,17.51530396,34.86704069,2.621696472,1.774540757,9.045729969,18.0069861,0.676867355,3.45033457,6.86844808,5.097504768,10.14740632,1.990661468,3.844350846,9.519504937,34.32151105,253.4918261,696.5195247,2.476232092,8.927778038,65.93878557,181.18001,3.605388229,26.62867741,73.16762052,7.385800284,20.29396444,2.747700135,0
535,2.45567019,13.85972511,80.70783455,173.5132947,607.7209226,5.643968465,32.86590964,70.65822415,247.4766054,5.823191579,12.51924503,43.84797806,2.149894068,7.5298876,3.502445871,2.273105851,3.824434309,8.673070425,32.75666689,82.38650908,1.682470839,3.815515419,14.41053301,36.24402666,2.267804785,8.565101201,21.54214255,3.776824733,9.499116811,2.515106599,1.593483475,3.994752139,8.435652293,24.8552484,76.24394998,2.506930384,5.293843599,15.59805847,47.84734275,2.111683529,6.221975116,19.0860277,2.946452455,9.038299272,3.067519131,2.33414633,11.97258353,52.85484349,177.258931,555.4532004,5.129320032,22.64418594,75.94165315,237.9684569,4.414656484,14.80540358,46.39376281,3.353693233,10.50903122,3.133569617,0
540,4.501911247,17.28561102,35.55944264,274.5174391,633.6753754,3.839616125,7.898743598,60.97797669,140.7569676,2.057170129,15.88126904,36.65912502,7.719958995,17.82017175,2.308324664,4.938876158,9.222609105,8.447634276,30.58894204,76.38474028,1.867349739,1.710436546,6.193502543,15.46601653,0.91597011,3.316734093,8.282335227,3.621006905,9.04214574,2.497135735,2.614869714,4.596079199,7.464555209,13.0512749,35.43741266,1.757670439,2.854656646,4.991175976,13.55226705,1.624113703,2.839654047,7.710357268,1.748433032,4.747424551,2.715245287,4.357062395,14.18750961,31.89423886,189.4391181,518.7355461,3.256209877,7.320124424,43.47863328,119.0562583,2.248050556,13.35252791,36.56283312,5.93960304,16.26423971,2.738270487,0
545,2.457266284,10.01374124,30.02936776,237.2526267,847.7726581,4.075155104,12.22064046,96.55145163,345.0064259,2.998816031,23.69270596,84.66093122,7.90068671,28.23145212,3.573290925,2.305554528,6.083752285,16.86343464,43.09769189,63.45954265,2.638737107,7.31426407,18.69298313,27.52463318,2.771880552,7.084064221,10.43098727,2.55568885,3.763144579,1.472458033,2.036024282,3.844418579,7.869654384,19.1902741,37.28687401,1.888198787,3.865206547,9.425366027,18.31357039,2.047033699,4.991723378,9.698963119,2.438515488,4.738057377,1.943008934,2.29478283,8.525259434,24.68857322,136.1938153,329.1704745,3.715061539,10.7585663,59.34932644,143.4429743,2.89593219,15.97532795,38.61119735,5.516471693,13.33290796,2.416926743,0
550,1.956871349,5.759980475,25.36909506,139.6985206,507.7210324,2.943464054,12.96410981,71.38870968,259.455499,4.404371711,24.2532976,88.14631136,5.506641853,20.01336789,3.634405218,4.261519235,22.05986836,34.53654037,51.60345007,101.8767504,5.17652676,8.104278889,12.10916746,23.90620451,1.565582342,2.339245603,4.618193939,1.494169639,2.949825004,1.974223627,3.582690604,6.498582132,20.85655737,55.82235482,125.199698,1.813883154,5.821478791,15.58112631,34.94571868,3.209401211,8.589928339,19.26569449,2.676489405,6.002893756,2.242823657,1.885382944,5.482304514,16.32948574,161.6564578,308.656726,2.90779363,8.661097626,85.74197528,163.7103629,2.978580577,29.48695341,56.3005439,9.899666183,18.90180321,1.909337432,0
555,7.234333883,19.07128125,73.69834232,208.6535088,590.8086107,2.636218007,10.18730176,28.84211763,81.66731315,3.864362406,10.94071793,30.97896795,2.831183203,8.01657937,2.831529716,2.532868586,6.128639991,7.492632856,22.48247164,26.05242935,2.419643887,2.958160916,8.876288238,10.28574064,1.222560448,3.668427525,4.250931592,3.000610342,3.477072727,1.15878849,2.899821588,3.996583826,6.877523792,16.71665718,29.88549458,1.378217143,2.371705839,5.764719196,10.30597699,1.720850629,4.182736533,7.477759977,2.430621497,4.345385851,1.787767391,6.443559439,20.08364004,79.34572146,261.718353,555.1244229,3.116854935,12.31395818,40.61704645,86.15182775,3.95076397,13.03142023,27.64062798,3.298455774,6.996274187,2.121075639,0
560,2.053672466,12.59006551,53.07988433,218.6147919,527.4955103,6.130512882,25.84632419,106.4506612,256.8547415,4.216013356,17.36407104,41.8977574,4.118599628,9.937766763,2.412899446,1.843333074,3.40436897,8.231231198,14.07967719,27.60182487,1.846855036,4.465406342,7.6381623,14.97386732,2.417843445,4.135767102,8.107765379,1.71051898,3.353304531,1.960401826,1.678904215,3.723314177,5.099722668,17.4151783,58.41974116,2.217704943,3.037530445,10.37294334,34.79635148,1.369672938,4.677332472,15.69025293,3.414926543,11.45547414,3.354530178,2.023997088,11.12190825,47.46429035,179.35595,453.9724263,5.495021866,23.45077008,88.61472729,224.2949998,4.267639083,16.12636482,40.81785391,3.778755537,9.564504662,2.531125544,0
